iter	Logloss
123	0.4482037603
124	0.4474376941
125	0.446587249
126	0.4455951839
127	0.4443858304
128	0.4433655182
129	0.4425298738
130	0.441894931
131	0.4411418714
132	0.4404527063
133	0.4396902329
134	0.4388242903
135	0.4379630191
136	0.4373340149
137	0.4365230616
138	0.4356234894
139	0.4352640846
140	0.4344058855
141	0.4338298741
142	0.4329849615
143	0.4324271149
144	0.4316675819
145	0.4310632917
146	0.4302865621
147	0.4292592443
148	0.428426704
149	0.4277591539
150	0.427005424
151	0.4261716942
152	0.4252915164
153	0.4247906562
154	0.4238847085
155	0.4233435466
156	0.4227244035
157	0.422170114
158	0.4213943962
159	0.4208336169
160	0.4199811262
161	0.419403536
162	0.4188365417
163	0.4181317468
164	0.4173097163
165	0.4167359788
166	0.416172792
167	0.415342687
168	0.4145635618
169	0.4142036854
170	0.4137206196
171	0.4130566365
172	0.412646375
173	0.4119018544
174	0.4114378981
175	0.4107414105
176	0.4100826562
177	0.4095073078
178	0.4090811502
179	0.4086027969
180	0.4080602863
181	0.4077359422
182	0.4069810089
183	0.4064689751
184	0.4059123419
185	0.4051662532
186	0.404651769
187	0.4042746326
188	0.4038237892
189	0.4033805889
190	0.4029377084
191	0.4024595181
192	0.4020419566
193	0.4014990213
194	0.4009798422
195	0.400497708
196	0.4001506335
197	0.3995518245
198	0.3988127545
199	0.3981724525
200	0.3975633953
201	0.3969351782
202	0.3963144951
203	0.3959248876
204	0.3954397673
205	0.3950152736
206	0.3945394492
207	0.3940901098
208	0.393716993
209	0.3933595616
210	0.3928148229
211	0.3923481793
212	0.3917547714
213	0.3912262645
214	0.39087377
215	0.3901921567
216	0.389732816
217	0.3893971825
218	0.3889606977
219	0.3885410645
220	0.3882189944
221	0.3878388487
222	0.3871889001
223	0.3869119015
224	0.3863529042
225	0.3858161108
226	0.3854899764
227	0.3848991223
228	0.3845231587
229	0.3838264633
230	0.3832792297
231	0.3827561976
232	0.3824113822
233	0.3819258621
234	0.3813535171
235	0.3807332622
236	0.380213044
237	0.3796388488
238	0.3791875183
239	0.3787915909
240	0.3784187862
241	0.3778744832
242	0.3775165727
243	0.3770838265
244	0.3767034909
245	0.3763510986
246	0.375905514
247	0.3754713703
248	0.3750794817
249	0.3748584475
250	0.3745165523
251	0.3741729076
252	0.3738582487
253	0.3733131752
254	0.3728621356
255	0.3726615709
256	0.3722875719
257	0.3719021972
258	0.3716701653
259	0.3714440651
260	0.3711604424
261	0.3707431766
262	0.3701167717
263	0.3698668429
264	0.3694547974
265	0.3688104705
266	0.3685241817
267	0.3682020103
268	0.367812617
269	0.3674106587
270	0.3669820711
271	0.3666076913
272	0.3662399709
273	0.3658849229
274	0.3655524162
275	0.3651243736
276	0.3646502184
277	0.3643844435
278	0.3640843656
279	0.3637491482
280	0.3635324042
281	0.3632525816
282	0.3628354177
283	0.3624873949
284	0.3622390024
285	0.361859667
286	0.361592176
287	0.3609051367
288	0.3606596554
289	0.3601489462
290	0.3596007557
291	0.3593360264
292	0.3589645515
293	0.3586535309
294	0.3580995116
295	0.3578522187
296	0.3576656703
297	0.3573576721
298	0.3570939771
299	0.3568082493
300	0.3565205942
301	0.3563334666
302	0.3561230556
303	0.3557391551
304	0.3554664708
305	0.3551541787
306	0.3549201133
307	0.3546572037
308	0.35446841
309	0.3542548205
310	0.3538935537
311	0.3537205913
312	0.3533562059
313	0.3531478986
314	0.3528804661
315	0.3525455582
316	0.3522184939
317	0.3517563346
318	0.3514085148
319	0.3511259121
320	0.3507584515
321	0.3504382495
322	0.3501976983
323	0.3500086623
324	0.3496390855
325	0.3493759923
326	0.3489265861
327	0.3486016297
328	0.3481822535
329	0.3479616807
330	0.347639083
331	0.3474550655
332	0.3471716925
333	0.3469451954
334	0.3467192581
335	0.3464433784
336	0.3462285578
337	0.345930732
338	0.3456713551
339	0.3454791391
340	0.3451438419
341	0.3449129054
342	0.3445029116
343	0.344353929
344	0.3439732216
345	0.3437699366
346	0.343484149
347	0.3431588774
348	0.3429162087
349	0.342717629
350	0.3425559305
351	0.3423817759
352	0.3420950927
353	0.3418953375
354	0.3416923185
355	0.3413244565
356	0.3411213392
357	0.3409220328
358	0.3405502021
359	0.3403367623
360	0.339957793
361	0.339445207
362	0.3391884933
363	0.3389551085
364	0.338696443
365	0.3386143504
366	0.3381191429
367	0.3377392024
368	0.3376445844
369	0.3372934232
370	0.3369941329
371	0.3365682687
372	0.3361660843
373	0.3360443609
374	0.3358111945
375	0.3356381417
376	0.3351926711
377	0.3348383244
378	0.3344825469
379	0.3341182612
380	0.3338408385
381	0.3334255998
382	0.333160139
383	0.3328379816
384	0.3326010487
385	0.3323736803
386	0.3321264396
387	0.3316891597
388	0.3314242045
389	0.3309512688
390	0.3307924361
391	0.3305344482
392	0.3303186619
393	0.3301590602
394	0.329886066
395	0.3296786901
396	0.3294171076
397	0.3291175342
398	0.3286608692
399	0.3283912621
400	0.3282396375
401	0.3279209909
402	0.3277511527
403	0.3274966845
404	0.3270349668
405	0.3267212637
406	0.3264091296
407	0.326160265
408	0.3256770964
409	0.3253164406
410	0.3250990327
411	0.3247780394
412	0.3244727691
413	0.3241632496
414	0.3240203026
415	0.3238073655
416	0.3237059167
417	0.3232854882
418	0.3229575727
419	0.3227269599
420	0.3225893923
421	0.3223511577
422	0.3220107501
423	0.3217657109
424	0.3215818292
425	0.3213839353
426	0.321151225
427	0.3209647562
428	0.3206338139
429	0.3203881543
430	0.320017842
431	0.3197367636
432	0.3195360424
433	0.319303344
434	0.3191468711
435	0.3189176637
436	0.3187896313
437	0.3184409293
438	0.3181612636
439	0.3179993275
440	0.317823295
441	0.3177421157
442	0.3174967043
443	0.317295222
444	0.316964855
445	0.316648438
446	0.3164174885
447	0.315934999
448	0.3157780252
449	0.3155683753
450	0.3151809893
451	0.3149559124
452	0.3146473078
453	0.3143021127
454	0.3141198404
455	0.3138337213
456	0.3135794399
457	0.3134046792
458	0.3132274195
459	0.3132177295
460	0.3130427585
461	0.3128706709
462	0.3125758394
463	0.3122073924
464	0.3119918343
465	0.3117907306
466	0.3114914897
467	0.3112654723
468	0.3109546867
469	0.3107829304
470	0.3105844268
471	0.3102988897
472	0.3100685369
473	0.3097774656
474	0.3095744244
475	0.3092939203
476	0.3091944963
477	0.3090768157
478	0.3089995847
479	0.3087838006
480	0.3086068905
481	0.3084031701
482	0.3081406653
483	0.3079249211
484	0.3077222625
485	0.3075480285
486	0.3073336618
487	0.3072385382
488	0.3070648914
489	0.3068721311
490	0.3067739683
491	0.3065777263
492	0.30628247
493	0.3061135385
494	0.3058231099
495	0.3054993228
496	0.3054243014
497	0.305342723
498	0.3050840747
499	0.3049042398
500	0.3047390348
501	0.3045875058
502	0.3043749938
503	0.3040732574
504	0.3038013912
505	0.3036331735
506	0.3033386135
507	0.3031020491
508	0.302990403
509	0.3027998808
510	0.3024895155
511	0.3023138854
512	0.3019055919
513	0.3016487705
514	0.3013879755
515	0.3011716953
516	0.3008812531
517	0.3007227899
518	0.3006513082
519	0.3002872217
520	0.3001181493
521	0.2999138618
522	0.2996053373
523	0.2993911133
524	0.2992218384
525	0.2989925535
526	0.2987980441
527	0.2987890269
528	0.2985587222
529	0.2983479665
530	0.2980845192
531	0.2978490521
532	0.2974634995
533	0.2972596116
534	0.2970636463
535	0.2968315995
536	0.2966663684
537	0.2965072721
538	0.2963693434
539	0.296173872
540	0.2958779584
541	0.2957379637
542	0.2956523773
543	0.2954939558
544	0.2952337248
545	0.2950741181
546	0.2948604167
547	0.29459757
548	0.2944453044
549	0.2942821861
550	0.2941445691
551	0.2940517609
552	0.2938405771
553	0.2936308471
554	0.2933720823
555	0.2932748328
556	0.2930716958
557	0.2929306754
558	0.2926683133
559	0.2924375309
560	0.2922158726
561	0.2920624426
562	0.2918281806
563	0.2915779137
564	0.2914568949
565	0.2913266767
566	0.2911503398
567	0.2908962499
568	0.2908311154
569	0.2905784058
570	0.2904294436
571	0.2902297051
572	0.2900143175
573	0.2898837836
574	0.2896020415
575	0.2894776131
576	0.2893608893
577	0.2891984499
578	0.2890737194
579	0.2889787218
580	0.2887381738
581	0.2885986307
582	0.2884942047
583	0.288186147
584	0.2880712878
585	0.2879507684
586	0.287815924
587	0.2876550332
588	0.2874529461
589	0.2870232416
590	0.2867678324
591	0.2865295734
592	0.2862698451
593	0.2859174904
594	0.2856448187
595	0.2855459182
596	0.2853292844
597	0.2851032279
598	0.285007232
599	0.2848171599
600	0.2845186391
601	0.2842639186
602	0.2839670595
603	0.2838027068
604	0.2836897026
605	0.283454572
606	0.283295011
607	0.2830634106
608	0.2829535629
609	0.2827607765
610	0.2824763427
611	0.2822987069
612	0.2821177857
613	0.2820527847
614	0.2819523161
615	0.2818172855
616	0.2815859256
617	0.2813893605
618	0.2810644361
619	0.2808754272
620	0.2807342653
621	0.2805021144
622	0.2801985196
623	0.2800693666
624	0.2798622313
625	0.2797322599
626	0.2796241749
627	0.2795131245
628	0.2793418044
629	0.2790575789
630	0.2788256649
631	0.2786003586
632	0.2784783142
633	0.2781897086
634	0.2780850762
635	0.2779711155
636	0.2778382605
637	0.277760174
638	0.2775319599
639	0.2773156237
640	0.2771020645
641	0.2768983365
642	0.2767624848
643	0.2765672308
644	0.2765126795
645	0.2763620375
646	0.2760375951
647	0.2758688577
648	0.275641837
649	0.2753668985
650	0.2752240729
651	0.2749798368
652	0.2748249328
653	0.2746559685
654	0.2744919364
655	0.2744365775
656	0.2741418624
657	0.2739863122
658	0.27388834
659	0.2734650845
660	0.2732910028
661	0.2731026244
662	0.2730264813
663	0.272955339
664	0.272686601
665	0.2725446181
666	0.272464311
667	0.2721703145
668	0.2718970735
669	0.271752155
670	0.2715585326
671	0.2710763264
672	0.2708014588
673	0.2707171302
674	0.2705305268
675	0.2702539033
676	0.2700548248
677	0.2698518495
678	0.2698277358
679	0.2696892434
680	0.2696301959
681	0.2693187125
682	0.2692361851
683	0.2690746911
684	0.2688858998
685	0.2686574419
686	0.2685083079
687	0.2684346775
688	0.2683282345
689	0.268142378
690	0.267888519
691	0.2677317218
692	0.2675094805
693	0.2673804776
694	0.267298739
695	0.2671615113
696	0.2669322577
697	0.2668359284
698	0.2665341702
699	0.2663120415
700	0.2661115903
701	0.2659252957
702	0.2658959027
703	0.2657120474
704	0.2654128198
705	0.2653442979
706	0.2651579174
707	0.264953918
708	0.2646874531
709	0.2645760349
710	0.2643808081
711	0.2641193292
712	0.2639915632
713	0.2637165205
714	0.2635804913
715	0.2635154273
716	0.2634485626
717	0.2632776647
718	0.2631177252
719	0.2630016291
720	0.2629167625
721	0.2627878033
722	0.2626436794
723	0.2625203649
724	0.2622975764
725	0.262049217
726	0.2620074826
727	0.2618672093
728	0.2616970276
729	0.2614431723
730	0.2613808387
731	0.2612347925
732	0.2610488022
733	0.261040685
734	0.2606556954
735	0.2604693414
736	0.2603669554
737	0.2601362189
738	0.2599516191
739	0.2598122343
740	0.2597080786
741	0.2594822255
742	0.2594268591
743	0.2593069226
744	0.2591017717
745	0.2590160068
746	0.2588681744
747	0.2584755411
748	0.2582081448
749	0.2580559166
750	0.2578868501
751	0.257702183
752	0.2576134301
753	0.2573757787
754	0.2572927865
755	0.2571357073
756	0.2568734963
757	0.2568350089
758	0.2567801251
759	0.2565750903
760	0.2564920779
761	0.25630425
762	0.25622435
763	0.2560471448
764	0.255795215
765	0.2556430383
766	0.2555061676
767	0.2553787284
768	0.2552974694
769	0.2551530319
770	0.255023431
771	0.2547481531
772	0.254583737
773	0.2544491682
774	0.254262685
775	0.2540941766
776	0.2539420335
777	0.2536084866
778	0.2533575024
779	0.2532749455
780	0.2529871369
781	0.2529414696
782	0.2527529471
783	0.2526467079
784	0.2524949682
785	0.2523721294
786	0.2522118225
787	0.2519570073
788	0.2517396566
789	0.2515658687
790	0.2514034779
791	0.2512774758
792	0.2510282457
793	0.2509054856
794	0.2507696264
795	0.2506396409
796	0.2505307529
797	0.2501954319
798	0.2500304357
799	0.2498672046
800	0.2497642871
801	0.2494887583
802	0.2493632578
803	0.2491721431
804	0.2490192336
805	0.2487257746
806	0.248520081
807	0.2482999869
808	0.2480939627
809	0.2479862519
810	0.2478171691
811	0.2477206128
812	0.2475137108
813	0.2472821259
814	0.2471740798
815	0.2470657805
816	0.2469622829
817	0.2469013188
818	0.2467646549
819	0.2466072404
820	0.2464808323
821	0.2463702639
822	0.2461076821
823	0.2458909709
824	0.2457713006
825	0.2456966982
826	0.2455102278
827	0.2453772241
828	0.24524569
829	0.2451059555
830	0.2449942241
831	0.2449456548
832	0.2448695066
833	0.2446799535
834	0.2444462477
835	0.2443342588
836	0.2442299823
837	0.2441106256
838	0.2439655188
839	0.2437801278
840	0.2437066101
841	0.2434883322
842	0.2433344883
843	0.2432392713
844	0.2429841035
845	0.2429344145
846	0.242780335
847	0.2425826598
848	0.2424568646
849	0.2423938093
850	0.2422185199
851	0.2419790644
852	0.2415923828
853	0.2415414428
854	0.2414319463
855	0.2412655701
856	0.241175819
857	0.241007782
858	0.2409026916
859	0.2406690198
860	0.2405826751
861	0.240456236
862	0.2403291253
863	0.2401769373
864	0.2399971273
865	0.2399069033
866	0.2397995135
867	0.2396867046
868	0.2393875638
869	0.2392483408
870	0.2389649378
871	0.2388455985
872	0.2387419056
873	0.2385696469
874	0.2384083551
875	0.2384025605
876	0.2381680777
877	0.2380024424
878	0.2377870634
879	0.2377610158
880	0.2376972584
881	0.2374093428
882	0.2372910317
883	0.2371727694
884	0.2370799129
885	0.2369780525
886	0.2367542458
887	0.2365855894
888	0.2364711577
889	0.2362749088
890	0.2361536819
891	0.2360252001
892	0.2358524409
893	0.235707496
894	0.2356030099
895	0.2355576823
896	0.2354321861
897	0.2353106952
898	0.2351317879
899	0.2350991943
900	0.2349519714
901	0.2348140564
902	0.2346810005
903	0.2346556063
904	0.2344764551
905	0.2343042876
906	0.2341642397
907	0.2341415476
908	0.2340251228
909	0.2337675776
910	0.2335438227
911	0.2332262853
912	0.2331203037
913	0.2328829812
914	0.232707334
915	0.2326345282
916	0.2325728288
917	0.2324666098
918	0.2324155058
919	0.2322593874
920	0.232142958
921	0.2319203491
922	0.2317349815
923	0.2317086467
924	0.2316163592
925	0.2315423993
926	0.2314309654
927	0.2313634804
928	0.2312624618
929	0.2311049419
930	0.2309147111
931	0.2307618114
932	0.2305390247
933	0.2304154723
934	0.2303535709
935	0.2301506609
936	0.2299621834
937	0.229859554
938	0.2298117104
939	0.2296856994
940	0.2295020786
941	0.2292873524
942	0.2291876693
943	0.2289465721
944	0.2289137034
945	0.2288182319
946	0.2286970577
947	0.2286131299
948	0.2285083316
949	0.228306901
950	0.228080222
951	0.2279846838
952	0.2279091309
953	0.2278328318
954	0.2278178594
955	0.2276319069
956	0.2275616068
957	0.2274290055
958	0.2272055174
959	0.2270871952
960	0.2268443757
961	0.2267050072
962	0.2265988476
963	0.226473216
964	0.2263150562
965	0.2262311754
966	0.2260752441
967	0.2258422807
968	0.2255950789
969	0.2254782225
970	0.2253195525
971	0.2251106547
972	0.2248897938
973	0.2246317492
974	0.2245257671
975	0.2243987835
976	0.2242997572
977	0.2242677603
978	0.2241134441
979	0.2239199717
980	0.2236921396
981	0.2235137681
982	0.2233598879
983	0.2233089484
984	0.2232014143
985	0.2231305757
986	0.2230766836
987	0.222795322
988	0.2227062788
989	0.2226017947
990	0.2224346783
991	0.2222659612
992	0.2220676336
993	0.2217955554
994	0.2216125863
995	0.221435604
996	0.2213767224
997	0.2211878308
998	0.2211725862
999	0.2209637374
